,Symbol,Name,Title,Salary
47,ZOM,"Dr. Stephanie Laine Morley D.V.M., DVM",Pres & Chief Medical Officer,263.37k
48,ZOM,Mr. Bruk  Herbst,Chief Commercial Officer,N/A
49,ZOM,Mr. Robert  Cohen,CEO & Director,N/A
50,ZOM,Ms. Ann Marie Cotter CPA,CFO & Sec.,N/A
51,ZOM,Mr. Michael  Schilk,VP of Sales,N/A
52,ZOM,Mr. David  Eaton,VP of Marketing,N/A
53,ZOM,Dr. William Carpenter MacArthur,Consultant,N/A
54,ZOM,Mr. Robert W. DiMarzo,Consultant,N/A
55,CCIV,Mr. Michael S. Klein,"Chairman, CEO & Pres",N/A
56,CCIV,Mr. Lee Jay Taragin,Chief Financial Officer,N/A
57,FCEL,Mr. Jason B. Few,"Pres, CEO, Chief Commercial Officer & Director",732.34k
58,FCEL,Mr. Michael S. Bishop,"Exec. VP, CFO & Treasurer",569.17k
59,FCEL,Mr. Michael  Lisowski,Exec. VP & COO,812.4k
60,FCEL,Mr. Anthony  Leo,Exec. VP & CTO,789.28k
61,FCEL,Ms. Jennifer D. Arasimowicz Esq.,"Exec. VP, Gen. Counsel, Chief Admin. Officer & Corp. Sec.",542.83k
62,FCEL,Mr. Thomas  Gelston,Sr. VP of Fin. & Investor Relations,N/A
63,FCEL,Mr. Darrell  Bradford,VP of HR,N/A
64,FCEL,Mr. Frank  Wolak,Sr. VP of Sales - Americas,N/A
65,FCEL,"Ms. Laura A. Marcero CPA, CIRA",Chief Restructuring Officer,N/A
66,FCEL,Mr. Lee  Sweigart,Deputy Chief Restructuring Officer,N/A
67,TLRY,Mr. Brendan  Kennedy,"Chairman, Pres & CEO",592.15k
68,TLRY,Mr. Andrew  Pucher,Chief Corp. Devel. Officer,253.99k
69,TLRY,Mr. Michael C. Kruteck,Chief Financial Officer,N/A
70,TLRY,Mr. Jon Edward Levin,Chief Operating Officer,N/A
71,TLRY,Ms. Dara  Redler,Gen. Counsel & Corp. Sec.,N/A
72,TLRY,Ms. Rita  Seguin,Chief HR Officer,N/A
73,TLRY,Mr. Greg  Christopher,Exec. VP of Operations,N/A
74,TLRY,Mr. Sascha  Mielcarek,Managing Director of Europe,N/A
75,TLRY,Mr. Josh  Eades,Chief Science Officer,N/A
76,TLRY,Mr. John  Andonoff,Sr. VP of Global Medical Sales Devel.,N/A
77,NOK,Mr. Pekka Ilmari Lundmark,Pres & CEO,N/A
78,NOK,Mr. Marco  Wiren,Chief Financial Officer,N/A
79,NOK,Mr. Nishant  Batra,Chief Strategy & Technology Officer,N/A
80,NOK,Matt  Shimao,Head of Investor Relations,N/A
81,NOK,Mr. Nassib  Abou-Khalil,Chief Legal Officer,N/A
82,NOK,Ms. Susan  Sheehan,Sr. VP of Communications,N/A
83,NOK,Ms. Stephanie  Werner-Dietz,Chief People Officer,N/A
84,NOK,Mr. Sergei  Khraby,Head of Belarussian office,N/A
